Combination,Modularized Accuracy,Inference Time
(fmnist:1-)(kmnist:2-5-7-9-)(mnist:2-4-),0.921,0.024290096998214723
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:0-1-2-3-4-5-6-7-9-),0.725,0.2439694128036499
(fmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-2-3-4-5-6-7-8-9-),0.875,0.06860426306724549
(emnist:2-3-5-8-9-10-12-13-14-15-16-17-19-21-22-23-26-27-28-29-32-33-34-36-38-39-40-42-44-45-46-47-48-52-53-54-56-59-)(fmnist:3-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:2-3-4-5-),0.76,0.183370658159256
(emnist:4-8-39-55-)(fmnist:0-1-2-3-4-5-6-7-8-)(kmnist:0-1-2-4-5-8-)(mnist:0-1-2-3-4-5-6-7-8-),0.792,0.09605852913856507
(emnist:11-19-35-36-)(fmnist:1-4-8-9-)(kmnist:3-4-7-)(mnist:2-),0.816,0.04076795101165771
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-33-34-35-36-37-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-)(fmnist:4-5-6-)(kmnist:3-5-6-)(mnist:0-3-4-5-6-8-),0.719,0.2453681221008301
(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-22-23-25-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-51-52-53-54-55-56-57-58-59-60-)(fmnist:1-5-)(mnist:2-),0.747,0.19029601788520814
(emnist:0-1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-50-51-52-53-54-55-56-57-58-59-60-)(fmnist:3-4-6-7-8-9-)(kmnist:0-2-3-4-6-7-)(mnist:1-3-4-6-8-9-),0.714,0.2622983059883118
(emnist:1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-32-34-39-41-42-44-46-47-48-51-52-55-57-59-60-61-)(fmnist:0-1-2-3-4-5-6-8-)(kmnist:0-1-2-3-4-5-6-7-8-9-)(mnist:0-1-3-4-6-),0.715,0.2293510308265686
(fmnist:0-1-3-4-5-6-8-)(kmnist:5-7-9-)(mnist:4-6-),0.818,0.04117395782470703
